date,open,high,low,close,volume
2026-01-02,10.50,12.40,10.10,12.00,3100000
2026-01-05,11.90,14.30,11.60,13.90,3400000
2026-01-06,13.80,16.50,13.50,16.10,3900000
2026-01-07,15.90,19.20,15.60,18.80,4300000
2026-01-08,18.50,22.00,18.20,21.60,4800000
2026-01-09,21.30,25.50,21.00,25.00,5200000
2026-01-12,24.60,29.10,24.30,28.60,5000000
2026-01-13,28.30,33.00,28.00,32.50,4700000
2026-01-14,32.20,37.00,31.90,36.40,4400000
2026-01-15,36.10,41.00,35.80,40.40,4100000
2026-01-16,40.10,45.20,39.80,44.60,3900000
2026-01-20,44.30,49.50,44.00,48.90,3700000
2026-01-21,48.60,54.00,48.30,53.40,3500000
2026-01-22,53.10,58.80,52.80,58.20,3300000
2026-01-23,57.90,64.00,57.60,63.50,3100000
2026-01-26,62.80,68.50,62.50,67.80,2950000
2026-01-27,66.90,72.50,66.60,71.80,2800000
2026-01-28,70.80,76.00,70.50,75.30,2700000
2026-01-29,74.50,79.50,74.20,78.80,2550000
2026-01-30,77.90,82.50,77.60,81.90,2400000
2026-02-02,80.80,85.50,80.50,84.80,2300000
2026-02-03,83.80,88.50,83.50,87.80,2200000
2026-02-04,86.80,91.50,86.50,90.80,2100000
2026-02-05,89.80,94.50,89.50,93.80,2000000
2026-02-06,92.80,97.50,92.50,96.80,1950000
2026-02-09,95.60,100.20,95.30,99.60,1900000
2026-02-10,98.40,102.80,98.10,102.20,1850000
2026-02-11,100.90,105.00,100.60,104.40,1800000
2026-02-12,103.20,108.50,96.50,105.00,1700000
2026-02-13,104.50,107.80,97.80,104.60,1550000
2026-02-17,103.80,107.10,98.90,104.20,1380000
2026-02-18,103.50,106.50,99.80,103.90,1200000
2026-02-19,103.20,106.00,100.50,103.60,1030000
2026-02-20,104.00,112.00,102.00,110.50,8200000
